firstName,telephone,expectedType,expectedMessage
Nam,12345678912345678,success,Success: Your account has been successfully updated.
Nam,12,error,Telephone must be between 3 and 32 characters!
Nam,123,success,Success: Your account has been successfully updated.
Nam,1234,success,Success: Your account has been successfully updated.
Nam,1231231231231231231231231231231,success,Success: Your account has been successfully updated.
Nam,12312312312312312312312312312312,success,Success: Your account has been successfully updated.
Nam,123123123123123123123123123123123,error,Telephone must be between 3 and 32 characters!
Nam,,error,Telephone must be between 3 and 32 characters!
Nam,0123456789,success,Success: Your account has been successfully updated.
Nam,01234567890123456789012345678912345,error,Telephone must be between 3 and 32 characters!
Nam,abc,success,Success: Your account has been successfully updated.
Nam,123456789,success,Success: Your account has been successfully updated.
Nam,12,error,Telephone must be between 3 and 32 characters!
,123456789,error,First Name must be between 1 and 32 characters!
,12,error,First Name must be between 1 and 32 characters!
