caseID,firstName,lastName,email,telephone,password,confirmPassword,privacyPolicy,expectedMessage,shouldSuccess
TC-008-001,Harry,Potter,harry.valid@example.com,0912233445,123456,123456,True,Your Account Has Been Created!,True
TC-008-002,HarryNameIsThirtyTwoCharactersXx,PotterNameIsThirtyTwoCharactersX,harry.max@example.com,0912233445,123456,123456,True,Your Account Has Been Created!,True
TC-008-003,Harry,Potter,harry.diffpass@example.com,0912233445,123456,654321,True,Password confirmation does not match password!,False
TC-008-004,Harry,Potter,harry.nopolicy@example.com,0912233445,123456,123456,False,Warning: You must agree to the Privacy Policy!,False
TC-008-005,,Potter,harry.nofirst@example.com,0912233445,123456,123456,True,First Name must be between 1 and 32 characters!,False
TC-008-006,HarryLongNameIsThirtyThreeCharsHerex,,harry.nolast@example.com,0912233445,123456,123456,True,Last Name must be between 1 and 32 characters!,False
TC-008-007,Harry,Potter,,0912233445,123456,123456,True,E-Mail Address does not appear to be valid!,False
TC-008-008,Harry,Potter,harry.nophone@example.com,,123456,123456,True,Telephone must be between 3 and 32 characters!,False
TC-008-009,Harry,Potter,harry.nopass@example.com,0912233445,,,True,Password must be between 4 and 20 characters!,False
TC-008-012,Harry,Potter,harry.textphone@example.com,onetwothree,123456,123456,True,Your Account Has Been Created!,True
TC-008-013,Harry,Potter,harry.shortphone@example.com,12,123456,123456,True,Telephone must be between 3 and 32 characters!,False
TC-008-014,Harry,Potter,harry.longphone@example.com,012345678901234567890123456789012,123456,123456,True,Telephone must be between 3 and 32 characters!,False
TC-008-015,Harry,Potter,harry.pass3@example.com,0912233445,123,123,True,Password must be between 4 and 20 characters!,False
TC-008-016,Harry,Potter,harry.pass4@example.com,0912233445,1234,1234,True,Your Account Has Been Created!,True
TC-008-018,Harry,Potter,harry.pass20@example.com,0912233445,12345678901234567890,12345678901234567890,True,Your Account Has Been Created!,True
TC-008-019,Harry,Potter,harry.pass21@example.com,0912233445,123456789012345678901,123456789012345678901,True,Your Account Has Been Created!,True
TC-008-021,HarryNameIsThirtyThreeCharsHerex,Potter,harry.fname33@example.com,0912233445,123456,123456,True,First Name must be between 1 and 32 characters!,False
TC-008-022,Harry,PotterLongNameIsThirtyThreeCharsHerex,harry.lname33@example.com,0912233445,123456,123456,True,Last Name must be between 1 and 32 characters!,False
